"","LPC.20.4","LPC.22.4","PE.40.4","PE.P.16.0.22.5","PE.P.18.0.16.0","PE.P.18.0.20.3","PE.P.18.0.22.4","PE.P.18.1.16.0","PE.P.18.1.22.5","PC.O.32.0","PC.O.34.1","PC.O.36.5","PC.O.40.6","PC.32.2","PC.34.1","SM.34.2.O2","SM.38.2.O2","SM.42.2.O2","DG.38.5","CE.18.3","CE.22.5"
"K2",-1.18633298289048,-0.445271356925695,-0.663178651734251,-0.892380017533501,-0.119435803080648,-0.603067725374022,-0.307217535926128,0.394815889694342,-0.000325360054961226,0.904460380743343,1.14061230203257,-0.938236199494382,0.626216337266186,-0.0390692251808869,-0.987359832844744,-0.0531458647410199,-0.229002139790195,-0.579931268649788,-0.871667669402236,-0.572074614777012,-0.840931261706997
"K20",0.702321983589608,0.421099661605594,3.67503963788326,1.4800426252788,0.462970701766322,-0.274464270559245,6.20457149913492,-0.0452834993378407,-0.0634880347895365,0.136601481302255,-0.425600788803561,-0.0696684693883931,-0.466834441498509,0.532369978146625,1.27939086273335,0.394914841556655,-0.424852467351752,-0.41609461228717,0.000565566442284454,1.81790236661143,3.01287252916979
"K3",0.532715289197598,0.738350840944679,-0.517490333005302,-1.26332949940053,-1.09356743690464,-0.442667414427967,0.00713391685014363,-0.0818462162017235,-0.306300284036263,-0.430663313531816,0.344663873597236,-0.938929267334703,-0.459255752434899,-1.09834374480685,-0.752685210248818,-0.122087042463767,-0.255328604271981,-1.08617298982287,-0.872977808333139,-1.16723202343588,-1.1694474330577
"K4",-0.461227230401019,0.299361832895795,-0.78850400215813,-0.815701951179094,-0.189942387381188,-0.606427813223303,-0.588865280794441,0.582846366512734,-0.207269238548997,-1.24376354247061,0.164185079524118,0.61209383381906,1.55940528072953,-0.490563646636461,-1.91512648163475,0.317038829411531,0.557403682691227,1.41596061876426,-0.643408670783597,-0.412080368903618,-0.360872248203157
"K5",-0.0538842903783738,-0.411168554939811,0.0920757132479333,-0.469056211607535,0.156151922534117,0.425509298152326,-0.0869679595875179,0.133023431865675,-0.345691650576703,-0.868243880452111,-0.680658199443122,-0.183032430395775,-0.105956645055547,0.0585248614277642,0.771273209532693,0.377704911633417,-0.205044995006405,0.0606572261348929,1.42262472065465,-0.180684856038148,-0.0737971143978706
"K6",0.419421942745156,0.84638338448603,0.350580514555921,1.93555051758686,0.475374497618507,0.272427115848691,-0.12435287663959,0.457113666852138,0.120164302307513,-0.818758990912491,-0.415549199767403,0.64394976677972,0.236212193144125,-0.547819180033234,-0.46414137190144,-0.384419757121259,0.183383235905401,-0.642199650747695,-0.259550284540851,-0.416656308683446,-0.577819740796096
"K7",-0.150139676636597,0.380283239846025,-0.579287942644848,0.455237559105424,-0.199490469623435,0.396851157582727,0.732152606693389,-0.69704947116954,-0.187051554646367,0.268284744030633,0.898863479286571,0.0107603336758725,0.793949208486667,-0.480875786731675,0.106900733971089,-1.18710137263486,-0.295371104818119,0.363494747788499,-0.529107291658243,0.757011138606464,0.0856282720781311
"K8",-1.35755225921889,1.42032920799897,1.32061240267444,0.490259487966675,0.237259491442371,1.75083122869026,-0.0172875796109842,1.6622780912356,-0.0232491201216636,1.50812914039539,2.58828425274912,0.989525146220715,0.559080143081162,2.2124806392156,1.28047130168649,0.327935698935136,1.22040891862755,1.14086728680753,-0.190572250706323,-0.434263576245661,2.28647341967555
"K9",0.599282028290713,0.165834644714197,0.848658981538372,0.168984278874946,0.722696718364615,0.484349906303701,-0.631806083598949,0.494284978822453,-0.275976868889732,-0.399838306958222,-1.59320450381613,-0.977850050565739,-0.779331521124554,-0.50822836909202,-0.92545578382989,-0.594945168946284,-0.781020991071334,-1.73917595807736,0.728731760764678,-0.235555610039296,0.931603751704972
"TRD11",1.64407716251448,-0.124842352532768,1.45483819281852,1.51203916253366,0.214921296652697,0.686731496849647,-0.0465366903137553,0.364179034159061,0.0353982431604355,0.346350405094329,-0.171834837569493,0.741420184488681,-0.231531611098039,0.58532146017587,2.47195670210758,-0.981951234940742,-1.14240550659811,-0.516836839290831,1.07723183989488,2.03010128428026,0.359076464449353
